iter	Passed	Remaining
0	18	3601
1	44	4375
2	64	4259
3	86	4216
4	123	4809
5	150	4880
6	172	4746
7	200	4812
8	227	4822
9	252	4803
10	282	4853
11	313	4905
12	335	4830
13	364	4839
14	394	4863
15	416	4787
16	442	4767
17	464	4697
18	494	4708
19	516	4651
20	544	4639
21	571	4620
22	587	4520
23	606	4445
24	623	4361
25	640	4284
26	656	4208
27	672	4133
28	688	4061
29	705	3999
30	722	3939
31	741	3892
32	770	3899
33	793	3872
34	822	3876
35	846	3857
36	872	3841
37	889	3791
38	905	3738
39	925	3701
40	942	3653
41	958	3605
42	973	3553
43	1001	3549
44	1019	3510
45	1036	3468
46	1054	3431
47	1071	3392
48	1086	3347
49	1100	3302
50	1117	3264
51	1135	3231
52	1152	3196
53	1165	3152
54	1181	3113
55	1195	3074
56	1210	3036
57	1223	2994
58	1237	2956
59	1248	2912
60	1260	2871
61	1271	2830
62	1282	2789
63	1293	2749
64	1304	2709
65	1319	2678
66	1330	2640
67	1342	2605
68	1354	2572
69	1365	2536
70	1379	2507
71	1393	2478
72	1404	2443
73	1414	2408
74	1426	2376
75	1436	2344
76	1451	2319
77	1465	2292
78	1479	2266
79	1494	2241
80	1505	2212
81	1516	2181
82	1530	2157
83	1542	2130
84	1557	2107
85	1568	2079
86	1579	2051
87	1594	2029
88	1610	2007
89	1625	1987
90	1638	1963
91	1654	1942
92	1669	1921
93	1682	1897
94	1695	1873
95	1710	1853
96	1722	1828
97	1734	1805
98	1747	1782
99	1759	1759
100	1772	1737
101	1786	1715
102	1802	1697
103	1813	1674
104	1825	1651
105	1841	1633
106	1854	1611
107	1867	1590
108	1879	1569
109	1893	1549
110	1911	1532
111	1927	1514
112	1942	1495
113	1954	1474
114	1967	1454
115	1983	1436
116	1997	1417
117	2009	1396
118	2021	1376
119	2040	1360
120	2056	1342
121	2072	1324
122	2083	1304
123	2096	1284
124	2109	1265
125	2120	1245
126	2132	1225
127	2144	1206
128	2159	1188
129	2170	1168
130	2184	1150
131	2197	1132
132	2211	1114
133	2222	1094
134	2234	1075
135	2250	1059
136	2262	1040
137	2274	1021
138	2285	1002
139	2298	985
140	2310	966
141	2323	949
142	2344	934
143	2366	920
144	2383	903
145	2397	886
146	2413	870
147	2428	853
148	2445	837
149	2463	821
150	2477	804
151	2490	786
152	2501	768
153	2515	751
154	2529	734
155	2545	717
156	2564	702
157	2579	685
158	2596	669
159	2612	653
160	2624	635
161	2639	619
162	2654	602
163	2665	585
164	2676	567
165	2688	550
166	2700	533
167	2712	516
168	2726	500
169	2738	483
170	2750	466
171	2761	449
172	2773	432
173	2785	416
174	2797	399
175	2809	383
176	2821	366
177	2836	350
178	2847	334
179	2858	317
180	2871	301
181	2884	285
182	2902	269
183	2917	253
184	2931	237
185	2946	221
186	2957	205
187	2969	189
188	2982	173
189	2993	157
190	3008	141
191	3021	125
192	3035	110
193	3048	94
194	3062	78
195	3075	62
196	3088	47
197	3100	31
198	3112	15
199	3122	0
